discount_rate,final_price,game_name,game_url,image_url,original_price,platforms
30%,$17.49,The Witch of Fern Island,https://store.steampowered.com/app/1550010/The_Witch_of_Fern_Island/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,$24.99,Windows
15%,$21.24,WRATH: Aeon of Ruin,https://store.steampowered.com/app/1000410/WRATH_Aeon_of_Ruin/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,$24.99,"Windows,Linux"
10%,$17.99,Shashingo: Learn Japanese with Photography,https://store.steampowered.com/app/1632490/Shashingo_Learn_Japanese_with_Photography/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,$19.99,Windows
,$14.99,Dicefolk,https://store.steampowered.com/app/1996430/Dicefolk/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
,$7.99,"PowerWash Simulator – Warhammer 40,000 Special Pack",https://store.steampowered.com/app/2593910/PowerWash_Simulator__Warhammer_40000_Special_Pack/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
,Free To Play,100 Dino Cats,https://store.steampowered.com/app/2803000/100_Dino_Cats/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
,Free To Play,100 Robo Cats,https://store.steampowered.com/app/2803010/100_Robo_Cats/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
10%,$4.49,Windowkill,https://store.steampowered.com/app/2726450/Windowkill/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,$4.99,"Windows,Linux"
,Free,NIGHT-RUNNERS™ PROLOGUE,https://store.steampowered.com/app/2707900/NIGHTRUNNERS_PROLOGUE/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
,Free To Play,Hoversteppers: Zone 1,https://store.steampowered.com/app/2777190/Hoversteppers_Zone_1/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
15%,$33.99,Solium Infernum,https://store.steampowered.com/app/1893810/Solium_Infernum/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,$39.99,Windows
,$29.99,Sons Of The Forest,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
25%,$18.74,Rail Route,https://store.steampowered.com/app/1124180/Rail_Route/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,$24.99,"Windows,MacOS,Linux"
10%,$26.99,Pacific Drive,https://store.steampowered.com/app/1458140/Pacific_Drive/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,$29.99,Windows
,Free To Play,Ruindog:Prologue,https://store.steampowered.com/app/2802430/RuindogPrologue/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
20%,$7.99,Turlock Holmes,https://store.steampowered.com/app/2142160/Turlock_Holmes/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,$9.99,"Windows,MacOS"
14%,$6.01,迷宮校舎 | School Labyrinth,https://store.steampowered.com/app/2423300/__School_Labyrinth/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,$6.99,Windows
10%,$35.99,Myth of Empires,https://store.steampowered.com/app/1371580/Myth_of_Empires/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,$39.99,Windows
,$34.99,Last Epoch,https://store.steampowered.com/app/899770/Last_Epoch/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,"Windows,Linux"
,$24.99,Bandle Tale: A League of Legends Story,https://store.steampowered.com/app/1759380/Bandle_Tale_A_League_of_Legends_Story/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
10%,$35.99,Terminator: Dark Fate - Defiance,https://store.steampowered.com/app/1839950/Terminator_Dark_Fate__Defiance/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,$39.99,Windows
,Free Demo,Contra: Operation Galuga Demo,https://store.steampowered.com/app/2235020/Contra_Operation_Galuga/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
,$14.99,Balatro,https://store.steampowered.com/app/2379780/Balatro/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
,Free To Play,"Please, Touch The Artwork 2",https://store.steampowered.com/app/2600140/Please_Touch_The_Artwork_2/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,"Windows,MacOS"
,Free,20 Small Mazes,https://store.steampowered.com/app/2570630/20_Small_Mazes/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
,Free,Sonder,https://store.steampowered.com/app/2692570/Sonder/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
,Free,HAWKED,https://store.steampowered.com/app/1955960/HAWKED/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
,$29.99,Tomb Raider I-III Remastered Starring Lara Croft,https://store.steampowered.com/app/2478970/Tomb_Raider_IIII_Remastered_Starring_Lara_Croft/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
,$49.99,Banishers: Ghosts of New Eden,https://store.steampowered.com/app/1493640/Banishers_Ghosts_of_New_Eden/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
,Free To Play,100 Ninja Cats,https://store.steampowered.com/app/2776810/100_Ninja_Cats/?snr=1_4_4__145,https://store.akamai.steamstatic.com/public/shared/images/trans.gif,,Windows
,$39.99,HELLDIVERS™ 2,https://store.steampowered.com/app/553850/HELLDIVERS_2/?snr=1_4_4__tab-TopGrossing,https://cdn.akamai.steamstatic.com/steam/apps/553850/capsule_184x69.jpg?t=1707955699,,Windows
,Free to Play,Counter-Strike 2,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_4_4__tab-TopGrossing,https://cdn.akamai.steamstatic.com/steam/apps/730/capsule_184x69.jpg?t=1698860631,,"Windows,Linux"
